customer,total_sales,rank
PALANPUR,11277.0,594
SIDDIPET,11249.0,595
Bhagalpur,11241.0,596
ANAPARTHY,11234.0,597
PALI,11159.0,598
Kanjoor,11152.1,599
KULLU,11139.0,600
Kolhapur,11134.53,601
KARAD,11125.0,602
KANHANGAD,11111.0,603
BANSWARA,11105.0,604
NILAMBUR,11096.01,605
TONK,11079.0,606
KALYAN west,11075.86,607
SEONI,11025.52,608
PILERU,11020.82,609
QUEPEM,10964.0,610
UDMA,10951.67,611
Banglore,10884.14,612
Amritsar,10833.02,613
ICHALKARANJI,10789.0,614
BUNGAL,10749.25,615
AROOR,10748.33,616
VIRAJPETE,10742.76,617
MIRZAPUR CUM VINDHYACHAL,10719.24,618
MAINPURI,10719.0,619
KOKRAJHAR,10705.0,620
Panvel,10647.86,621
SRIPERUMBUDUR,10645.14,622
CHIDAMBARAM,10634.0,623
Shillong,10623.77,624
FATEHPUR FATEHPUR DISTRICT,10617.619999999999,625
DHARMAVARAM,10603.57,626
BANTVAL,10601.93,627
ANTAH,10552.0,628
DEWAS,10537.95,629
Leimakhong Town,10488.95,630
Pathanamthitta,10472.27,631
JHARSUGUDA,10464.0,632
MIRYALAGUDA,10456.0,633
Rohtak,10445.0,634
PALANI,10430.0,635
CHHATARPUR,10423.19,636
KHOPOLI,10411.2,637
PALAI,10409.0,638
GUDIVADA KRISHNA DISTRICT,10395.0,639
KUMTA,10387.95,640
CHENNAI 600028,10380.0,641
AMBUR,10372.0,642
BARAMATI,10358.71,643
Angamaly,10317.0,644
CHILAKALURIPET,10316.25,645
Tirupati,10251.67,646
KANKE,10240.97,647
PILANI TOWN,10237.0,648
AKBARPUR,10233.0,649
Jammu,10170.0,650
Salem,10161.0,651
DEOBAND,10156.0,652
TUNI,10135.32,653
KUMARAPALAYAM,10124.57,654
East Delhi,10115.95,655
PAURI,10107.0,656
JUNAGADH,10093.0,657
SIRSA,10089.1,658
BELA PRATAPGARH,10087.380000000001,659
KARJAT RAIGARH DISTRICT,10043.76,660
Vizianagaram,10030.0,661
ROBERTSGANJ,10014.0,662
MUNGER,10013.0,663
ALANTHURAI,9985.0,664
Burhanpur,9963.25,665
DAMAN,9952.54,666
DUMKA,9898.0,667
Rourkela,9849.0,668
BURLA,9849.0,668
BUXAR,9802.0,669
Silchar,9796.0,670
PILKHUWA,9759.14,671
NAVELIM,9716.0,672
PERINTHALMANNA,9711.09,673
jaipur,9706.0,674
DUNGARPUR,9692.869999999999,675
MAVOOR,9692.57,676
MAVELIKKARA,9669.0,677
MORENA,9663.0,678
AMALAPURAM,9641.0,679
MODINAGAR,9619.76,680
GOPALGANJ,9613.86,681
RAJSAMAND,9612.0,682
Gangtok,9601.0,683
BETUL,9597.86,684
NORTH DELHI,9597.86,684
RISHRA,9565.0,685
KAYAMKULAM,9564.86,686
NORTH WEST DELHI,9547.0,687
MAHABUBABAD,9533.29,688
"Avinashi, Tirupur",9507.0,689
KUSHINAGAR,9477.29,690
Virar west,9462.0,691
RUSHIKONDA APIIC,9457.0,692
SULYA,9450.0,693
Raipur,9427.1,694
EDATHALA,9426.0,695
Malappuram,9403.0,696
Manipal,9401.0,697
PROTHRAPUR,9393.0,698
FAROOQNAGAR,9381.72,699
Thalassery,9371.48,700
Jorhat,9363.0,701
PATAN,9353.0,702
HAPUR,9326.0,703
FATEHABAD,9316.0,704
GUDALUR THE NILGIRIS DISTRICT,9299.0,705
MOGA,9296.0,706
NAWADA,9295.0,707
ADONI,9280.0,708
JATANI,9247.0,709
TADEPALLIGUDEM,9239.0,710
THIRUVARUR,9226.0,711
BALANGIR,9220.380000000001,712
FIROZPUR,9197.0,713
Calicut,9172.43,714
VIKASNAGAR,9167.0,715
SAWAI MADHOPUR,9159.0,716
NORTH LAKHIMPUR,9155.71,717
KAPURTHALA,9120.0,718
PALACOLE,9115.57,719
PORBANDAR,9104.0,720
KADUNGALLOOR,9088.0,721
Karur,9070.9,722
Srinagar,9064.81,723
BICHOLIM,9044.14,724
Dombivli West,9038.0,725
SANGRUR,9032.0,726
BHUSAWAL,9030.0,727
udaipur,9020.0,728
DHEMAJI,9014.0,729
NARASAPUR,8986.0,730
Thane West,8948.0,731
LALITPUR,8947.29,732
MAHINDRA WORLD CITY,8947.0,733
coimbatore,8940.25,734
Zirakpur,8929.619999999999,735
SURYAPET,8920.24,736
DHAMTARI,8917.0,737
BIHARSHARIF,8910.0,738
PANDHARPUR,8908.0,739
MADUKKARAI,8854.1,740
SHAMLI,8847.81,741
KAITHAL,8845.0,742
CANACONA,8844.86,743
BARUIPUR,8825.0,744
Ahmednagar,8811.0,745
NEYVELI,8809.0,746
BILIMORA,8806.42,747
Kalyan west,8803.0,748
THENI ALLINAGARAM,8792.0,749
GANJAM,8769.67,750
SUPAUL,8768.0,751
CHANDI MANDIR,8749.0,752
KOPPAL,8743.0,753
SATHUPALLY,8722.0,754
PALWAL,8646.0,755
MANDLA,8646.0,755
BHADRAK,8640.0,756
SANGAMNER,8624.0,757
MARALIA,8621.72,758
RANGIA,8601.79,759
KANJIRAPPALLY,8600.71,760
UNA,8599.25,761
BONGAIGAON,8566.29,762
DALTONGANJ,8549.24,763
Shimoga,8541.0,764
RANEBENNUR,8508.48,765
Edapally,8500.0,766
faridabad,8488.0,767
RANIKHET,8463.96,768
ghaziabad,8454.33,769
HSIIDC SOHNA,8441.14,770
NAKODAR,8436.0,771
Barrackpore,8411.1,772
secunderabad,8411.0,773
Teh. Phagwara Distt. Kapurthala,8383.0,774
Mandi,8361.0,775
MANESAR,8350.0,776
Berhampur,8342.0,777
CORBETT,8337.0,778
JASHPURNAGAR,8328.53,779
MAHAD,8301.0,780
NARASIMHANAICKENPALAYAM,8299.0,781
CHURU,8261.62,782
HALDWANI,8259.0,783
BHAWANIPATNA,8254.0,784
PEDDAPALLE,8249.0,785
NALBARI,8247.19,786
Amravati,8244.0,787
Nagaon,8241.67,788
ACHAMPET,8203.29,789
CHIRAWA,8198.0,790
MUDBIDRI,8197.0,791
JOGABANI,8167.0,792
KAVALI,8165.0,793
MANALI,8145.0,794
TIRUPATHUR VELLORE DISTRICT,8100.0,795
DHARUHERA,8082.24,796
Agartala,8058.0,797
VENKATAGIRI,8036.0,798
VYARA,8034.0,799
TANUKU,8031.0,800
CHANDANNAGAR,8028.0,801
VASAI,8010.33,802
Shimla,8008.0,803
NEW RAIPUR,8007.82,804
GUNTAKAL,8002.0,805
CHITTUR THATHAMANGALAM,7999.0,806
PALAMANER,7970.0,807
ADAMPUR,7964.0,808
Nanded,7961.62,809
Ongole,7946.0,810
PURULIYA,7939.0,811
GUDIYATHAM,7931.0,812
KUNDAPURA,7929.8099999999995,813
New Town,7924.0,814
Silvassa,7919.48,815
Aurangabad,7919.0,816
Ludhiana,7913.9,817
HAJIPUR,7876.5,818
NEYYATTINKARA,7866.0,819
Nagercoil,7863.71,820
JORETHANG,7854.0,821
ABU ROAD,7843.29,822
BHADRAVATI,7822.0,823
Kadapa,7821.29,824
CHAMARAJANAGAR,7816.0,825
DIU,7811.0,826
BENGALURU 560037,7788.0,827
Bareilly,7787.8099999999995,828
SINGRAULI,7786.0,829
Azamgarh,7778.0,830
VIJAY PORE,7777.43,831
DOMBIVLI,7775.76,832
PARBHANI,7769.0,833
UNCHAHAR,7765.0,834
JAMUHAN,7758.0,835
AMROHA,7752.0,836
Nizamabad,7751.0,837
KALKA,7739.48,838
visakhapatnam,7726.0,839
VAZHAKKALA,7722.0,840
IDAR,7707.96,841
VERNA,7700.57,842
Irinjalakuda,7696.0,843
Sangareddy,7689.38,844
THOTTADA,7688.0,845
WALUJ MIDC,7681.0,846
MUMBAI 400102,7648.0,847
GANGAWATI,7644.1900000000005,848
MANNARGUDI,7641.1,849
JAGATSINGHAPUR,7617.43,850
KARORAN,7606.0,851
navi mumbai,7581.0,852
PUNNAPARA,7579.28,853
EAST GODAVARI,7566.95,854
TIRURANGADI,7566.71,855
GODHRA,7560.0,856
JEHANABAD,7537.0,857
CUNCOLIM,7517.33,858
JHAJJAR,7517.0,859
DOIWALA,7496.0,860
KARIVELLUR,7475.58,861
Virar West,7465.29,862
Bathinda,7450.0,863
Trichy,7422.0,864
RANIPETTAI,7411.0,865
PAKAUR,7408.0,866
Aligarh,7403.1900000000005,867
KUSHALANAGARA,7400.95,868
Hassan,7386.67,869
Secundrabad,7371.0,870
KUNNAMKULAM,7344.0,871
RAWATBHATA,7337.48,872
MARAIMALAINAGAR,7336.0,873
SAHARSA,7319.0,874
HUBLI,7311.0,875
TARANAGAR,7303.57,876
Vasai,7292.0,877
RAYADURG,7257.1,878
PALLIKKUNNU,7247.29,879
HATHRAS,7241.48,880
NAJIBABAD,7228.0,881
OOTY,7222.48,882
BAMBOOFLAT,7208.24,883
Vikarabad,7200.0,884
BUDGE BUDGE,7197.0,885
KHURJA,7193.36,886
MAYILADUTHURAI,7180.0,887
GARULIA,7178.24,888
ANANDPUR SAHIB,7172.0,889
BUCHIREDDIPALEM,7168.72,890
NALLUR KANNIYAKUMARI DISTRICT,7168.1,891
DEHRI ON SONE,7164.0,892
RAMGARH CANTONMENT CIVIL TOWNSHIP,7162.0,893
MHOW,7148.38,894
BANGAON,7140.0,895
ORAGADAM INDUSTRIAL AREA,7134.0,896
HOSHANGABAD,7132.0,897
TUMSAR,7129.57,898
SIDCUL HARIDWAR,7119.0,899
"Karukachal, kottayam",7109.0,900
NTPC KANIHA TOWNSHIP,7098.0,901
Naharlagun,7096.0,902
RIICO INDUSTRIAL AREA NEEMRANA,7095.27,903
GURUVAYUR,7085.29,904
FARIDPUR BAREILLY DISTRICT,7084.0,905
INDUSTRIAL PARK NAIDUPET,7068.29,906
RAJAPALAYAM VIRUDHUNAGAR DISTRICT,7066.0,907
KHALILABAD,7057.96,908
SHAHAPUR THANE DISTRICT,7045.0,909
KANCHRAPARA,7041.43,910
Ropar,7040.0,911
WANAPARTHY,6996.0,912
DANDELI,6969.0,913
Manjeri,6959.0,914
Dombivli east,6957.0,915
SAMBA,6955.69,916
TALIPARAMBA,6951.0,917
TINDIVANAM,6927.8099999999995,918
CHERUTHAZHAM,6919.95,919
DHAMPUR,6913.0,920
CHANDAUSI,6909.0,921
Thoothukudi,6906.39,922
Churu,6906.280000000001,923
SHRIRAMPUR,6887.0,924
Thane west,6882.0,925
Chandrapur,6879.71,926
MATTANNUR,6868.0,927
